timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1667103303437,974,Request1-0,301,Moved Permanently,Thread Group 1-6,text,true,,703,113,10,10,https://google.com/,974,0,0
1667103304412,614,Request1-1,200,OK,Thread Group 1-6,text,true,,17415,117,10,10,https://www.google.com/,588,0,0
1667103303941,1125,Request1,200,OK,Thread Group 1-3,text,true,,18136,230,10,10,https://www.google.com/,486,0,0
1667103303941,486,Request1-0,301,Moved Permanently,Thread Group 1-3,text,true,,703,113,10,10,https://google.com/,486,0,0
1667103304427,639,Request1-1,200,OK,Thread Group 1-3,text,true,,17433,117,10,10,https://www.google.com/,600,0,0
1667103303287,1784,Request1,200,OK,Thread Group 1-1,text,true,,18228,230,10,10,https://www.google.com/,1174,0,0
1667103303287,1174,Request1-0,301,Moved Permanently,Thread Group 1-1,text,true,,703,113,10,10,https://google.com/,1174,0,0
1667103304461,610,Request1-1,200,OK,Thread Group 1-1,text,true,,17525,117,10,10,https://www.google.com/,605,0,0
1667103303907,1405,Request1,200,OK,Thread Group 1-2,text,true,,18178,230,10,10,https://www.google.com/,703,0,0
1667103303907,703,Request1-0,301,Moved Permanently,Thread Group 1-2,text,true,,703,113,10,10,https://google.com/,703,0,0
1667103304610,702,Request1-1,200,OK,Thread Group 1-2,text,true,,17475,117,10,10,https://www.google.com/,678,0,0
1667103304429,965,Request1,200,OK,Thread Group 1-8,text,true,,18137,230,10,10,https://www.google.com/,450,0,0
1667103304429,450,Request1-0,301,Moved Permanently,Thread Group 1-8,text,true,,703,113,10,10,https://google.com/,450,0,0
1667103304879,515,Request1-1,200,OK,Thread Group 1-8,text,true,,17434,117,10,10,https://www.google.com/,504,0,0
1667103304717,1119,Request1,200,OK,Thread Group 1-9,text,true,,18144,230,10,10,https://www.google.com/,518,0,0
1667103304717,518,Request1-0,301,Moved Permanently,Thread Group 1-9,text,true,,703,113,10,10,https://google.com/,518,0,0
1667103305235,601,Request1-1,200,OK,Thread Group 1-9,text,true,,17441,117,10,10,https://www.google.com/,586,0,0
1667103305071,1094,Request1,200,OK,Thread Group 1-1,text,true,,18204,230,10,10,https://www.google.com/,477,0,0
1667103305071,477,Request1-0,301,Moved Permanently,Thread Group 1-1,text,true,,703,113,10,10,https://google.com/,477,0,0
1667103305548,617,Request1-1,200,OK,Thread Group 1-1,text,true,,17501,117,10,10,https://www.google.com/,605,0,0
1667103304572,1875,Request1,200,OK,Thread Group 1-5,text,true,,18253,230,10,10,https://www.google.com/,479,0,0
1667103304572,479,Request1-0,301,Moved Permanently,Thread Group 1-5,text,true,,703,113,10,10,https://google.com/,479,0,0
1667103305051,1396,Request1-1,200,OK,Thread Group 1-5,text,true,,17550,117,10,10,https://www.google.com/,1352,0,0
1667103304873,1575,Request1,200,OK,Thread Group 1-4,text,true,,18223,230,10,10,https://www.google.com/,966,0,0
